,name,lon,lat,zNum,carCap,carDisCap,address
191,Парковка №0303 (11),37.538776,55.753953,0303,8,0,"улица Антонова-Овсеенко, дом 9"
192,Парковка №0303 (11),37.538947,55.75376,0303,8,0,"улица Антонова-Овсеенко, дом 9"
193,,,,,,,
194,Парковка №0303 (377),37.544752,55.753404,0303,7,0,"1-й Красногвардейский проезд, дом 8"
195,Парковка №0303 (377),37.544108,55.753227,0303,7,0,"1-й Красногвардейский проезд, дом 8"
196,,,,,,,
197,Парковка №0303 (132),37.550043,55.757452,0303,8,0,"улица Сергея Макеева, дом 2, строение 1"
198,Парковка №0303 (132),37.55009,55.757151,0303,8,0,"улица Сергея Макеева, дом 2, строение 1"
199,Парковка №0303 (132),37.550138,55.756858,0303,8,0,"улица Сергея Макеева, дом 2, строение 1"
200,,,,,,,
201,Парковка №0303 (96),37.5561645627022,55.7573390164985,0303,11,1,"Студенецкий переулок, дом 4"
202,Парковка №0303 (96),37.5562155246735,55.7565662592997,0303,11,1,"Студенецкий переулок, дом 4"
203,,,,,,,
204,Парковка №0303 (72),37.5552231073379,55.7564560797801,0303,7,0,"Мантулинская улица, дом 2"
205,Парковка №0303 (72),37.556140422821,55.7565224893908,0303,7,0,"Мантулинская улица, дом 2"
206,,,,,,,
207,Парковка №0303 (115),37.560455,55.754548,0303,8,0,"Краснопресненская набережная, дом 10, строение 5"
208,Парковка №0303 (115),37.560594,55.754384,0303,8,0,"Краснопресненская набережная, дом 10, строение 5"
209,,,,,,,
210,Парковка №0303 (101),37.567183,55.762301,0303,10,0,"улица Красная Пресня, дом 30, строение 1"
211,Парковка №0303 (101),37.567718,55.762221,0303,10,0,"улица Красная Пресня, дом 30, строение 1"
212,,,,,,,
213,Парковка №0303 (106),37.5687777,55.7619405,0303,9,0,"улица Красная Пресня, дом 23, корпус Б, строение 1"
214,Парковка №0303 (106),37.5691183,55.7618881,0303,9,0,"улица Красная Пресня, дом 23, корпус Б, строение 1"
215,,,,,,,
216,Парковка №0303 (167),37.602832,55.762955,0303,8,0,"Тверской бульвар, дом 27, строение 6"
217,Парковка №0303 (167),37.603336,55.763412,0303,8,0,"Тверской бульвар, дом 27, строение 6"
218,,,,,,,
219,Парковка №0303 (68),37.603601,55.759673,0303,7,0,"Леонтьевский переулок, дом 11"
220,Парковка №0303 (68),37.602835,55.759227,0303,7,0,"Леонтьевский переулок, дом 11"
221,,,,,,,
222,Парковка №0303 (67),37.603709,55.759653,0303,7,1,"Леонтьевский переулок, дом 10, строение 1"
223,Парковка №0303 (67),37.602956,55.75921,0303,7,1,"Леонтьевский переулок, дом 10, строение 1"
224,,,,,,,
225,Парковка №0303 (363),37.602378,55.75708,0303,8,0,"Большая Никитская улица, дом 22/2"
226,Парковка №0303 (363),37.603397,55.756965,0303,8,0,"Большая Никитская улица, дом 22/2"
227,,,,,,,
228,Парковка №0303 (159),37.600413,55.759259,0303,9,2,"Тверской бульвар, дом 14, строение 1"
229,Парковка №0303 (159),37.60088,55.759751,0303,9,2,"Тверской бульвар, дом 14, строение 1"
230,,,,,,,
231,Парковка №0303 (157),37.598879,55.757732,0303,7,0,"Тверской бульвар, дом 2"
232,Парковка №0303 (157),37.599292,55.758157,0303,7,0,"Тверской бульвар, дом 2"
233,,,,,,,
234,Парковка №0303 (124),37.602697,55.757634,0303,8,1,"Хлыновский тупик, дом 4"
235,Парковка №0303 (124),37.603004,55.758046,0303,8,1,"Хлыновский тупик, дом 4"
236,,,,,,,
237,Парковка №0303 (370),37.598031,55.757291,0303,8,0,"Никитский бульвар, дом 25"
238,Парковка №0303 (370),37.59839,55.756811,0303,8,0,"Никитский бульвар, дом 25"
239,Парковка №0303 (370),37.598891,55.756199,0303,8,0,"Никитский бульвар, дом 25"
240,,,,,,,
241,Парковка №0303 (162),37.601392,55.760202,0303,9,2,"Тверской бульвар, дом 18, строение 1"
242,Парковка №0303 (162),37.6019016,55.7607061,0303,9,2,"Тверской бульвар, дом 18, строение 1"
243,,,,,,,
244,Парковка №0303 (165),37.600719,55.760839,0303,9,3,"Тверской бульвар, дом 17, строение 1"
245,Парковка №0303 (165),37.601372,55.761532,0303,9,3,"Тверской бульвар, дом 17, строение 1"
246,,,,,,,
247,Парковка №0303 (144),37.592555,55.757648,0303,9,0,"Большая Никитская улица, дом 44, строение 2"
248,Парковка №0303 (144),37.593513,55.757569,0303,9,0,"Большая Никитская улица, дом 44, строение 2"
249,,,,,,,
250,Парковка №0303 (146),37.58859,55.758106,0303,8,1,"Большая Никитская улица, дом 50А/5"
251,Парковка №0303 (146),37.589362,55.757943,0303,8,1,"Большая Никитская улица, дом 50А/5"
252,,,,,,,
253,Парковка №0303 (145),37.589577,55.757825,0303,7,1,"Большая Никитская улица, дом 47, строение 2"
254,Парковка №0303 (145),37.590746,55.757723,0303,7,1,"Большая Никитская улица, дом 47, строение 2"
255,,,,,,,
256,Парковка №0303 (369),37.605214,55.756679,0303,11,1,"Брюсов переулок, дом 2/14, строение 6"
257,Парковка №0303 (369),37.605616,55.756615,0303,11,1,"Брюсов переулок, дом 2/14, строение 6"
258,Парковка №0303 (369),37.606244,55.756479,0303,11,1,"Брюсов переулок, дом 2/14, строение 6"
259,,,,,,,
