,name,lon,lat
481,Алексеевский район,37.668575,55.820448
482,Алексеевский район,37.668081,55.819877
483,Алексеевский район,37.66607,55.81747
484,Алексеевский район,37.663108,55.814046
485,Алексеевский район,37.662803,55.813698
486,Алексеевский район,37.660044,55.810549
487,Алексеевский район,37.658124,55.808382
488,Алексеевский район,37.657824,55.808043
489,Алексеевский район,37.654535,55.804122
490,Алексеевский район,37.651403,55.800131
491,Алексеевский район,37.650907,55.798771
492,Алексеевский район,37.650989,55.797854
493,Алексеевский район,37.650592,55.796096
494,Алексеевский район,37.65047,55.794233
495,Алексеевский район,37.650428,55.793881
496,Алексеевский район,37.650371,55.793413
497,Алексеевский район,37.650315,55.79294
498,Алексеевский район,37.650457,55.791661
499,Алексеевский район,37.650822,55.790777
500,Алексеевский район,37.651519,55.789386
501,Алексеевский район,37.650147,55.789724
502,Алексеевский район,37.648756,55.790107
503,Алексеевский район,37.648228,55.790238
504,Алексеевский район,37.647731,55.790381
505,Алексеевский район,37.646997,55.790605
506,Алексеевский район,37.646295,55.790888
507,Алексеевский район,37.645527,55.791268
508,Алексеевский район,37.64296,55.792981
509,Алексеевский район,37.640459,55.794599
510,Алексеевский район,37.638266,55.795663
511,Алексеевский район,37.636499,55.796389
512,Алексеевский район,37.635345,55.796961
513,Алексеевский район,37.634986,55.79714
514,,,
515,район Чертаново Центральное,37.570011,55.608245
516,район Чертаново Центральное,37.572758,55.608245
517,район Чертаново Центральное,37.574732,55.608754
518,район Чертаново Центральное,37.575805,55.61159
519,район Чертаново Центральное,37.574818,55.613069
520,район Чертаново Центральное,37.577432,55.614103
521,район Чертаново Центральное,37.577693,55.614862
522,район Чертаново Центральное,37.575977,55.615662
523,район Чертаново Центральное,37.578462,55.618756
524,район Чертаново Центральное,37.576977,55.619308
525,район Чертаново Центральное,37.575678,55.619678
526,район Чертаново Центральное,37.574992,55.619823
527,район Чертаново Центральное,37.574745,55.620047
528,район Чертаново Центральное,37.575056,55.620544
529,район Чертаново Центральное,37.57556,55.621023
530,район Чертаново Центральное,37.575947,55.621423
531,район Чертаново Центральное,37.576397,55.621756
532,район Чертаново Центральное,37.576921,55.621963
533,район Чертаново Центральное,37.578135,55.621952
534,район Чертаново Центральное,37.579667,55.621939
535,район Чертаново Центральное,37.582929,55.62516
536,район Чертаново Центральное,37.591135,55.624075
537,район Чертаново Центральное,37.59779,55.623179
